Account Name,Cancellation Reason,Cancellation Reason Other,Tenure_Months,Last Invoice $
ecostrong,Other - please specify,"not ready to connect QB with Method, he prefers a stand-alone crm and requested not to contact him again as he wont be using Method",0.0,
sagars356,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
sagars3562",0.0,
cncmfg,Other - please specify,creating a new account,0.0,
ezinflatables,Other - please specify,The went with Odoo,0.0,
anchorsupply3,Other - please specify,Duplicate account: anchorsupply2,0.0,
inspiredclosetschicago,Other - please specify,We were assessing with a customer and they decided on a different path.,0.5,
pureforge,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
techm3incdbapureforge",0.0,
bostongourmetchefs2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
bostongourmetchefs",0.0,
bostongourmetchefs,Other - please specify,I want to set up a new account for a new test file.,0.5,
beatricebakery,Other - please specify,Will create a new one,0.0,
masterflooring2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
masterflooring",0.0,
galaxygroupcorp,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
atlanticrestaurantandsupermarketequipment",0.0,
smindustries,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
smindustries2",0.0,
nyzarafoodinc2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
nyzarafoodinc4",0.0,
rktkingscorporation2,Other - please specify,rktkingscorporation,0.0,
accuratecontrols,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
accuratecontrolsltd2",0.0,
fishtnk2,Other - please specify,Duplicate account: fishtnkinc,0.0,
regalis2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
regalis",0.0,
protonmail7,Other - please specify,Spammer,0.0,
newcosolarsolutions4,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
newcosolarsolutions2",0.0,
newcosolarsolutions3,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
newcosolarsolutions2",0.0,
okstestdiscover,Other - please specify,Spammer,0.0,
allusertest5oct,Other - please specify,Spammer,0.0,
goldendoble,Other - please specify,Duplicate account: goldendoble88,0.0,
bynaturedesign2,Other - please specify,Original is: bynature,0.0,
idealproekt,Other - please specify,"Conversion Exception Reason: 
Intuit / Integration Testing
Other Reason: Her new job requires her to book a QuickBooks training. She booked one with Method thinking were QuickBooks.",0.0,
sandeawholesaleltd2,Other - please specify,Duplicate account: sandeawholesaleltd,0.0,
shotgun1846,Other - please specify,Duplicate account: tecnoelecrepgroup,0.0,
romet2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
romet",0.0,
accessgardinc,Other - please specify,Don't see the value for just contact management. Thank you anyway!,0.0,
hometreasureslinens4,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
hometreasureslinens5",0.0,
tubsusa,Other - please specify,"I am looking for more of a manufacturing software. We dont really have a need for just have a CRM. Our customers are pretty set already, and we can easily set them up in QuickBooks online and get all the information we need.",0.0,
deluxesheabutter3,Other - please specify,Xero integration is still not working!,0.0,
b2gsales2,Other - please specify,"Changed my mind.

No Demo.

Thank you",0.0,
harperjordanboutique,Other - please specify,"It’s not you, it’s me! :( ",0.0,
hamiltonsserviceandcountry,Other - please specify,"We need Point of Sale software right now. 

Actually, we use Salesforce for another company and Method compares favourably.",0.0,
none16,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
none15",0.0,
kitech3,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
kitech",0.0,
kitech2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
kitech",0.0,
luxemekitchens,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
luxemekitchens2",0.0,
priopel1993inc,Other - please specify,Duplicate account: riopel2,0.0,
elysianlabsllc2,Other - please specify,Duplicate account: elysianlabsllc,0.0,
cannadriequipmentltd3,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
cannadri2",0.0,
andywai2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
andywai",0.0,
petropipe,Other - please specify,Not very user friendly or intuitive. ,0.0,
casita,Other - please specify,Doesnt do anything?,0.0,
freochoc2,Other - please specify,Conversion Exception Reason: Duplicate AccountOther Account:fremantlechocolate,0.0,
cvcedar2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
cvcedar",0.0,
mariamodesandcheshiremenswear,Other - please specify,Not suited for our needs.,0.0,
chemicaldynamicsinc2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
chemicaldynamicsinc",0.0,
bequetconfections2,Other - please specify,No custom pricing rules for QBO,0.0,
onthewaycafe,Other - please specify,"At the moment, just cost is the concern. Thanks!",0.0,
nextstation,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
nextstation2",0.0,
aquaticlifeltd,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
aquaticlife",0.0,
usmillsllc,Other - please specify,too much transactional which we manage through SOSinventory,0.0,
sportsmetalsltd,Other - please specify,"to advanced for what I need, thank you",0.0,
umtmarine2,Other - please specify,This is duplicate. Original is: umtmarine3,0.0,
blendbeautypurveyors2,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
blendbeautypurveyors",0.0,
abarabove2,Other - please specify,"Churn Exception Reason: 
Duplicate Account
Other Account:
abarabove",0.0,
customsheltersinc,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
customsheltersinc2",0.0,
decoguard,Other - please specify,I need to wait to have access to my quickbooks Admin account before I start the trial. ,0.0,
trenninvestmentsllc,Other - please specify,Not what I am looking for,0.0,
j2medicalsupplyCo8,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
j2medicalsupply",0.0,
yourfreshestfood,Other - please specify,limited texting capabilities,0.0,
hotpocinc,Other - please specify,wrongly connected to QB desktop account,0.0,
ferezcopowersystemsllc,Other - please specify,"I need for opportunities to be able to see the location on a map so I can organize multiple sales calls
-------

Conversion Exception Reason: 
Duplicate Account
Other Account:
ferezcopower",0.0,
ebiballc,Other - please specify,Just need more research ,0.0,
makemymat,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
makemymatCo1",0.0,
idskincare,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
idskincareCo1",0.0,
communicatecareltd,Other - please specify,need specific price files for each customer,0.0,
layouttexas,Other - please specify,Not what I am looking,0.0,
EnergiumHealth,Other - please specify,no interested,0.0,
binharkil,Other - please specify,"Conversion Exception Reason: 
Duplicate Account
Other Account:
arifCo1",0.0,
grasslandsbrokerageCo1,Duplicate Account,"Conversion Exception Reason: 
Duplicate Account
Other Account:
grasslandsbrokerage",0.0,
rodentsodorfree,Other - please specify,I'd like more control with regards to what syncs.,0.0,
piercingcleaningkits,Other - please specify,just to much ,0.0,
ergonomicmounts,,"It is frustrating to correctly sync quickbooks and your chat support is too slow. 

Link to chat: https://app.intercom.io/a/apps/a4b5qk7m/companies/5afef1a99247533730fbc9d8/conversations

Took Sammy 8 minutes to respond. Customer seemed to be panicked. Requested to have the contacts list sorted by  Name in Quickbooks on the contact screen for customers.

Then cancelled via portal. ",0.0,
ejsilverbrookecoinc1,,Other,0.0,
sixthcitydistribution,,Method was missing the following features,0.0,
starmarktrading,,Method was difficult to use and learn,0.0,
stagvaporco,,My schedule didn’t allow time to explore Method,0.0,
create,Other - please specify,"Create"""" is a reserved word and account is busted forever",2.5,
accuwrightmechanicalllc,,Other,0.0,
werrytheory,,Other,0.0,
vinoindianallc,Other - please specify,Synced to the wrong QBO. Signed up for another account - vinoindiana1 and will move forward with this account. ,0.0,
structuredelementsmarketing,,Method was missing the following features,0.0,
cosmobiousa,Other - please specify,Thought signing up for a new account would give him Pro access. He is using Classic.,0.0,
colorscene,Other (In-Product QBDT),I have Quickbooks for Mac,0.0,
discountpackagingdepot,Don't want to sync (In-Product QBDT),We use Quickbooks Enterprise Server in a hosted environment provided by Right Networks. I will need to coordinate with them to get this integrated.,0.0,
sundancehemp,,Other,0.2,
usroofing,,My schedule didn’t allow time to explore Method,0.2,
lauxgrafix,,Other,0.2,
buffbrew,,Method was missing the following features,0.3,
mackenziegolfbags1,Due to economic reasons,"we are a small business (but growing), but cannot afford your software",0.6,
biomatik,,Method was missing the following features,0.2,
uace,Using another CRM Product,We have decided to go with an easier “out of the box” crm.,0.9,
bunburypoolservicechemicalsupply,,Method was missing the following features,1.3,
protectassociates1,Other - please specify,"Another account created due to signup issues, not a great experience overall.",1.0,
cratersfreightersnynj1,Pre-sale trial account,"This was a test account that I opened to test the new version of Method.  Please cancel this account, associated with cratenyc@gmail.com.",1.0,
s3fsolutions,,Other,0.2,
venuspartners,,My schedule didn’t allow time to explore Method,1.2,
hqcinternationalinc,,My schedule didn’t allow time to explore Method,0.5,
spinballspoi,,Other,0.8,
blorg,,Other,1.1,
t1ammunition,Difficult Workflows / Workflow Challenges,We do not wish to use the program. We disconnected the app from our quickbooks.,1.2,
vitalitytrial,,My schedule didn’t allow time to explore Method,1.2,
mastervapesllc,,Other,0.7,
afsbrandsllc,Other - please specify,"I don't wish to continue the trial. Please cancel my subscription. Thank you!""""",1.1,
